date	region_code	hospitalized_addition
2020-05-04	Region of Southern Denmark	0
2020-05-05	Region of Southern Denmark	0
2020-05-06	Region of Southern Denmark	0
2020-05-07	Region of Southern Denmark	0
2020-05-08	Region of Southern Denmark	1
2020-05-09	Region of Southern Denmark	0
2020-05-10	Region of Southern Denmark	1
2020-05-11	Region of Southern Denmark	1
2020-05-12	Region of Southern Denmark	0
2020-05-13	Region of Southern Denmark	0
2020-05-14	Region of Southern Denmark	2
2020-05-15	Region of Southern Denmark	4
2020-05-16	Region of Southern Denmark	2
2020-05-17	Region of Southern Denmark	0
2020-05-18	Region of Southern Denmark	2
2020-05-19	Region of Southern Denmark	0
2020-05-20	Region of Southern Denmark	0
2020-05-21	Region of Southern Denmark	0
2020-05-22	Region of Southern Denmark	0
2020-05-23	Region of Southern Denmark	0
2020-05-24	Region of Southern Denmark	0
2020-05-25	Region of Southern Denmark	2
2020-05-26	Region of Southern Denmark	3
2020-05-27	Region of Southern Denmark	0
2020-05-28	Region of Southern Denmark	0
2020-05-29	Region of Southern Denmark	0
2020-05-30	Region of Southern Denmark	0
2020-05-31	Region of Southern Denmark	1
2020-06-01	Region of Southern Denmark	1
2020-06-02	Region of Southern Denmark	0
2020-06-03	Region of Southern Denmark	0
2020-06-04	Region of Southern Denmark	1
2020-06-05	Region of Southern Denmark	1
2020-06-06	Region of Southern Denmark	0
2020-06-07	Region of Southern Denmark	1
2020-06-08	Region of Southern Denmark	0
2020-06-09	Region of Southern Denmark	0
2020-06-10	Region of Southern Denmark	0
2020-06-11	Region of Southern Denmark	0
2020-06-12	Region of Southern Denmark	0
2020-06-13	Region of Southern Denmark	0
2020-06-14	Region of Southern Denmark	0
2020-06-15	Region of Southern Denmark	0
2020-06-16	Region of Southern Denmark	0
2020-06-17	Region of Southern Denmark	1
2020-06-18	Region of Southern Denmark	0
2020-06-19	Region of Southern Denmark	0
2020-06-20	Region of Southern Denmark	0
2020-06-21	Region of Southern Denmark	0
2020-06-22	Region of Southern Denmark	0
2020-06-23	Region of Southern Denmark	0
2020-06-24	Region of Southern Denmark	0
2020-06-25	Region of Southern Denmark	0
2020-06-26	Region of Southern Denmark	0
2020-06-27	Region of Southern Denmark	0
2020-06-28	Region of Southern Denmark	0
2020-06-29	Region of Southern Denmark	0
2020-06-30	Region of Southern Denmark	0
2020-07-01	Region of Southern Denmark	0
2020-07-02	Region of Southern Denmark	1
2020-07-03	Region of Southern Denmark	0
2020-07-04	Region of Southern Denmark	0
2020-07-05	Region of Southern Denmark	1
2020-07-06	Region of Southern Denmark	0
2020-07-07	Region of Southern Denmark	0
2020-07-08	Region of Southern Denmark	0
2020-07-09	Region of Southern Denmark	1
2020-07-10	Region of Southern Denmark	0
2020-07-11	Region of Southern Denmark	0
2020-07-12	Region of Southern Denmark	0
2020-07-13	Region of Southern Denmark	0
2020-07-14	Region of Southern Denmark	0
2020-07-15	Region of Southern Denmark	0
2020-07-16	Region of Southern Denmark	0
2020-07-17	Region of Southern Denmark	0
2020-07-18	Region of Southern Denmark	0
2020-07-19	Region of Southern Denmark	0
2020-07-20	Region of Southern Denmark	0
2020-07-21	Region of Southern Denmark	0
2020-07-22	Region of Southern Denmark	0
2020-07-23	Region of Southern Denmark	0
2020-07-24	Region of Southern Denmark	1
2020-07-25	Region of Southern Denmark	1
2020-07-26	Region of Southern Denmark	0
2020-07-27	Region of Southern Denmark	0
2020-07-28	Region of Southern Denmark	0
2020-07-29	Region of Southern Denmark	0
2020-07-30	Region of Southern Denmark	0
2020-07-31	Region of Southern Denmark	1
2020-08-01	Region of Southern Denmark	0
2020-08-02	Region of Southern Denmark	0
2020-08-03	Region of Southern Denmark	1
2020-08-04	Region of Southern Denmark	0
2020-08-05	Region of Southern Denmark	0
2020-08-06	Region of Southern Denmark	1
2020-08-07	Region of Southern Denmark	0
2020-08-08	Region of Southern Denmark	0
2020-08-09	Region of Southern Denmark	0
2020-08-10	Region of Southern Denmark	0
2020-08-11	Region of Southern Denmark	0
2020-08-12	Region of Southern Denmark	0
2020-08-13	Region of Southern Denmark	0
2020-08-14	Region of Southern Denmark	0
2020-08-15	Region of Southern Denmark	0
2020-08-16	Region of Southern Denmark	0
2020-08-17	Region of Southern Denmark	0
2020-08-18	Region of Southern Denmark	0
2020-08-19	Region of Southern Denmark	1
2020-08-20	Region of Southern Denmark	0
2020-08-21	Region of Southern Denmark	1
2020-08-22	Region of Southern Denmark	0
2020-08-23	Region of Southern Denmark	1
2020-08-24	Region of Southern Denmark	0
2020-08-25	Region of Southern Denmark	0
2020-08-26	Region of Southern Denmark	0
2020-08-27	Region of Southern Denmark	0
2020-08-28	Region of Southern Denmark	0
2020-08-29	Region of Southern Denmark	0
2020-08-30	Region of Southern Denmark	0
2020-08-31	Region of Southern Denmark	1
2020-09-01	Region of Southern Denmark	0
2020-09-02	Region of Southern Denmark	2
2020-09-03	Region of Southern Denmark	0
2020-09-04	Region of Southern Denmark	2
2020-09-05	Region of Southern Denmark	1
2020-09-06	Region of Southern Denmark	1
2020-09-07	Region of Southern Denmark	1
2020-09-08	Region of Southern Denmark	2
2020-09-09	Region of Southern Denmark	2
2020-09-10	Region of Southern Denmark	0
2020-09-11	Region of Southern Denmark	0
2020-09-12	Region of Southern Denmark	3
2020-09-13	Region of Southern Denmark	2
2020-09-14	Region of Southern Denmark	2
2020-09-15	Region of Southern Denmark	0
2020-09-16	Region of Southern Denmark	2
2020-09-17	Region of Southern Denmark	0
2020-09-18	Region of Southern Denmark	0
2020-09-19	Region of Southern Denmark	4
2020-09-20	Region of Southern Denmark	2
2020-09-21	Region of Southern Denmark	4
2020-09-22	Region of Southern Denmark	1
2020-09-23	Region of Southern Denmark	2
2020-09-24	Region of Southern Denmark	6
2020-09-25	Region of Southern Denmark	2
2020-09-26	Region of Southern Denmark	0
2020-09-27	Region of Southern Denmark	3
2020-09-28	Region of Southern Denmark	6
2020-09-29	Region of Southern Denmark	2
2020-09-30	Region of Southern Denmark	2
2020-10-01	Region of Southern Denmark	4
2020-10-02	Region of Southern Denmark	1
2020-10-03	Region of Southern Denmark	0
2020-10-04	Region of Southern Denmark	4
2020-10-05	Region of Southern Denmark	2
2020-10-06	Region of Southern Denmark	2
2020-10-07	Region of Southern Denmark	1
2020-10-08	Region of Southern Denmark	1
2020-10-09	Region of Southern Denmark	3
2020-10-10	Region of Southern Denmark	2
2020-10-11	Region of Southern Denmark	2
2020-10-12	Region of Southern Denmark	2
2020-10-13	Region of Southern Denmark	3
2020-10-14	Region of Southern Denmark	2
2020-10-15	Region of Southern Denmark	1
2020-10-16	Region of Southern Denmark	1
2020-10-17	Region of Southern Denmark	1
2020-10-18	Region of Southern Denmark	5
2020-10-19	Region of Southern Denmark	3
2020-10-20	Region of Southern Denmark	4
2020-10-21	Region of Southern Denmark	4
2020-10-22	Region of Southern Denmark	2
2020-10-23	Region of Southern Denmark	2
2020-10-24	Region of Southern Denmark	2
2020-10-25	Region of Southern Denmark	7
2020-10-26	Region of Southern Denmark	2
2020-10-27	Region of Southern Denmark	4
2020-10-28	Region of Southern Denmark	5
2020-10-29	Region of Southern Denmark	8
2020-10-30	Region of Southern Denmark	5
2020-10-31	Region of Southern Denmark	6
2020-11-01	Region of Southern Denmark	12
2020-11-02	Region of Southern Denmark	8
2020-11-03	Region of Southern Denmark	3
2020-11-04	Region of Southern Denmark	6
2020-11-05	Region of Southern Denmark	12
2020-11-06	Region of Southern Denmark	6
2020-11-07	Region of Southern Denmark	3
2020-11-08	Region of Southern Denmark	7
2020-11-09	Region of Southern Denmark	6
2020-11-10	Region of Southern Denmark	6
2020-11-11	Region of Southern Denmark	3
2020-11-12	Region of Southern Denmark	5
2020-11-13	Region of Southern Denmark	3
2020-11-14	Region of Southern Denmark	2
2020-11-15	Region of Southern Denmark	2
2020-11-16	Region of Southern Denmark	3
2020-11-17	Region of Southern Denmark	11
2020-11-18	Region of Southern Denmark	7
2020-11-19	Region of Southern Denmark	6
2020-11-20	Region of Southern Denmark	7
2020-11-21	Region of Southern Denmark	7
2020-11-22	Region of Southern Denmark	5
2020-11-23	Region of Southern Denmark	8
2020-11-24	Region of Southern Denmark	5
2020-11-25	Region of Southern Denmark	4
2020-11-26	Region of Southern Denmark	11
2020-11-27	Region of Southern Denmark	2
2020-11-28	Region of Southern Denmark	5
2020-11-29	Region of Southern Denmark	4
2020-11-30	Region of Southern Denmark	9
2020-12-01	Region of Southern Denmark	7
2020-12-02	Region of Southern Denmark	7
2020-12-03	Region of Southern Denmark	5
2020-12-04	Region of Southern Denmark	4
2020-12-05	Region of Southern Denmark	6
2020-12-06	Region of Southern Denmark	4
2020-12-07	Region of Southern Denmark	6
2020-12-08	Region of Southern Denmark	4
2020-12-09	Region of Southern Denmark	6
2020-12-10	Region of Southern Denmark	12
2020-12-11	Region of Southern Denmark	6
2020-12-12	Region of Southern Denmark	6
2020-12-13	Region of Southern Denmark	13
2020-12-14	Region of Southern Denmark	10
2020-12-15	Region of Southern Denmark	13
2020-12-16	Region of Southern Denmark	11
2020-12-17	Region of Southern Denmark	8
2020-12-18	Region of Southern Denmark	11
2020-12-19	Region of Southern Denmark	12
2020-12-20	Region of Southern Denmark	11
2020-12-21	Region of Southern Denmark	19
2020-12-22	Region of Southern Denmark	12
2020-12-23	Region of Southern Denmark	15
2020-12-24	Region of Southern Denmark	7
2020-12-25	Region of Southern Denmark	13
2020-12-26	Region of Southern Denmark	15
2020-12-27	Region of Southern Denmark	11
2020-12-28	Region of Southern Denmark	33
2020-12-29	Region of Southern Denmark	10
2020-12-30	Region of Southern Denmark	11
2020-12-31	Region of Southern Denmark	17
2021-01-01	Region of Southern Denmark	17
2021-01-02	Region of Southern Denmark	11
2021-01-03	Region of Southern Denmark	12
2021-01-04	Region of Southern Denmark	13
2021-01-05	Region of Southern Denmark	15
2021-01-06	Region of Southern Denmark	12
2021-01-07	Region of Southern Denmark	17
2021-01-08	Region of Southern Denmark	9
2021-01-09	Region of Southern Denmark	14
2021-01-10	Region of Southern Denmark	13
2021-01-11	Region of Southern Denmark	19
2021-01-12	Region of Southern Denmark	11
2021-01-13	Region of Southern Denmark	6
2021-01-14	Region of Southern Denmark	10
2021-01-15	Region of Southern Denmark	21
2021-01-16	Region of Southern Denmark	14
2021-01-17	Region of Southern Denmark	12
2021-01-18	Region of Southern Denmark	17
2021-01-19	Region of Southern Denmark	18
2021-01-20	Region of Southern Denmark	10
2021-01-21	Region of Southern Denmark	9
2021-01-22	Region of Southern Denmark	9
2021-01-23	Region of Southern Denmark	2
2021-01-24	Region of Southern Denmark	6
2021-01-25	Region of Southern Denmark	8
2021-01-26	Region of Southern Denmark	3
2021-01-27	Region of Southern Denmark	7
2021-01-28	Region of Southern Denmark	7
2021-01-29	Region of Southern Denmark	5
2021-01-30	Region of Southern Denmark	2
2021-01-31	Region of Southern Denmark	6
2021-02-01	Region of Southern Denmark	7
2021-02-02	Region of Southern Denmark	5
2021-02-03	Region of Southern Denmark	4
2021-02-04	Region of Southern Denmark	3
2021-02-05	Region of Southern Denmark	2
2021-02-06	Region of Southern Denmark	5
2021-02-07	Region of Southern Denmark	2
2021-02-08	Region of Southern Denmark	5
2021-02-09	Region of Southern Denmark	6
2021-02-10	Region of Southern Denmark	5
2021-02-11	Region of Southern Denmark	2
2021-02-12	Region of Southern Denmark	5
2021-02-13	Region of Southern Denmark	8
2021-02-14	Region of Southern Denmark	0
2021-02-15	Region of Southern Denmark	5
2020-03-01	Central Denmark Region	0
2020-03-02	Central Denmark Region	0
2020-03-03	Central Denmark Region	0
2020-03-04	Central Denmark Region	0
2020-03-05	Central Denmark Region	0
2020-03-06	Central Denmark Region	0
2020-03-07	Central Denmark Region	0
2020-03-08	Central Denmark Region	0
2020-03-09	Central Denmark Region	0
2020-03-10	Central Denmark Region	3
2020-03-11	Central Denmark Region	0
2020-03-12	Central Denmark Region	7
2020-03-13	Central Denmark Region	7
2020-03-14	Central Denmark Region	3
2020-03-15	Central Denmark Region	4
2020-03-16	Central Denmark Region	3
2020-03-17	Central Denmark Region	6
2020-03-18	Central Denmark Region	4
2020-03-19	Central Denmark Region	4
2020-03-20	Central Denmark Region	5
2020-03-21	Central Denmark Region	4
2020-03-22	Central Denmark Region	7
2020-03-23	Central Denmark Region	16
2020-03-24	Central Denmark Region	14
2020-03-25	Central Denmark Region	14
2020-03-26	Central Denmark Region	12
2020-03-27	Central Denmark Region	11
2020-03-28	Central Denmark Region	10
2020-03-29	Central Denmark Region	4
2020-03-30	Central Denmark Region	11
2020-03-31	Central Denmark Region	9
2020-04-01	Central Denmark Region	6
2020-04-02	Central Denmark Region	10
2020-04-03	Central Denmark Region	11
2020-04-04	Central Denmark Region	7
2020-04-05	Central Denmark Region	2
2020-04-06	Central Denmark Region	4
2020-04-07	Central Denmark Region	6
2020-04-08	Central Denmark Region	3
2020-04-09	Central Denmark Region	8
2020-04-10	Central Denmark Region	6
2020-04-11	Central Denmark Region	3
2020-04-12	Central Denmark Region	4
2020-04-13	Central Denmark Region	4
2020-04-14	Central Denmark Region	10
2020-04-15	Central Denmark Region	5
2020-04-16	Central Denmark Region	9
2020-04-17	Central Denmark Region	2
2020-04-18	Central Denmark Region	2
2020-04-19	Central Denmark Region	4
2020-04-20	Central Denmark Region	4
2020-04-21	Central Denmark Region	5
2020-04-22	Central Denmark Region	2
2020-04-23	Central Denmark Region	4
2020-04-24	Central Denmark Region	2
2020-04-25	Central Denmark Region	1
2020-04-26	Central Denmark Region	3
2020-04-27	Central Denmark Region	2
2020-04-28	Central Denmark Region	0
2020-04-29	Central Denmark Region	1
2020-04-30	Central Denmark Region	1
2020-05-01	Central Denmark Region	1
2020-05-02	Central Denmark Region	5
2020-05-03	Central Denmark Region	0
2020-05-04	Central Denmark Region	3
2020-05-05	Central Denmark Region	0
2020-05-06	Central Denmark Region	0
2020-05-07	Central Denmark Region	0
2020-05-08	Central Denmark Region	0
2020-05-09	Central Denmark Region	3
2020-05-10	Central Denmark Region	0
2020-05-11	Central Denmark Region	0
2020-05-12	Central Denmark Region	2
2020-05-13	Central Denmark Region	0
2020-05-14	Central Denmark Region	0
2020-05-15	Central Denmark Region	0
2020-05-16	Central Denmark Region	1
2020-05-17	Central Denmark Region	2
2020-05-18	Central Denmark Region	1
2020-05-19	Central Denmark Region	1
2020-05-20	Central Denmark Region	2
2020-05-21	Central Denmark Region	0
2020-05-22	Central Denmark Region	2
2020-05-23	Central Denmark Region	1
2020-05-24	Central Denmark Region	0
2020-05-25	Central Denmark Region	0
2020-05-26	Central Denmark Region	0
2020-05-27	Central Denmark Region	0
2020-05-28	Central Denmark Region	0
2020-05-29	Central Denmark Region	0
2020-05-30	Central Denmark Region	1
2020-05-31	Central Denmark Region	0
2020-06-01	Central Denmark Region	1
2020-06-02	Central Denmark Region	0
2020-06-03	Central Denmark Region	0
2020-06-04	Central Denmark Region	0
2020-06-05	Central Denmark Region	0
2020-06-06	Central Denmark Region	0
2020-06-07	Central Denmark Region	0
2020-06-08	Central Denmark Region	0
2020-06-09	Central Denmark Region	0
2020-06-10	Central Denmark Region	0
2020-06-11	Central Denmark Region	0
2020-06-12	Central Denmark Region	0
2020-06-13	Central Denmark Region	0
2020-06-14	Central Denmark Region	0
2020-06-15	Central Denmark Region	0
2020-06-16	Central Denmark Region	0
2020-06-17	Central Denmark Region	0
2020-06-18	Central Denmark Region	0
2020-06-19	Central Denmark Region	0
2020-06-20	Central Denmark Region	0
2020-06-21	Central Denmark Region	1
2020-06-22	Central Denmark Region	0
2020-06-23	Central Denmark Region	2
2020-06-24	Central Denmark Region	0
2020-06-25	Central Denmark Region	0
2020-06-26	Central Denmark Region	0
2020-06-27	Central Denmark Region	1
2020-06-28	Central Denmark Region	0
2020-06-29	Central Denmark Region	0
2020-06-30	Central Denmark Region	0
2020-07-01	Central Denmark Region	0
2020-07-02	Central Denmark Region	0
2020-07-03	Central Denmark Region	1
2020-07-04	Central Denmark Region	0
2020-07-05	Central Denmark Region	0
2020-07-06	Central Denmark Region	0
2020-07-07	Central Denmark Region	0
2020-07-08	Central Denmark Region	0
2020-07-09	Central Denmark Region	0
2020-07-10	Central Denmark Region	0
2020-07-11	Central Denmark Region	0
2020-07-12	Central Denmark Region	0
2020-07-13	Central Denmark Region	0
2020-07-14	Central Denmark Region	1
2020-07-15	Central Denmark Region	0
2020-07-16	Central Denmark Region	0
2020-07-17	Central Denmark Region	0
2020-07-18	Central Denmark Region	0
2020-07-19	Central Denmark Region	0
2020-07-20	Central Denmark Region	0
2020-07-21	Central Denmark Region	0
2020-07-22	Central Denmark Region	1
2020-07-23	Central Denmark Region	0
2020-07-24	Central Denmark Region	0
2020-07-25	Central Denmark Region	0
2020-07-26	Central Denmark Region	0
2020-07-27	Central Denmark Region	0
2020-07-28	Central Denmark Region	0
2020-07-29	Central Denmark Region	2
2020-07-30	Central Denmark Region	0
2020-07-31	Central Denmark Region	2
2020-08-01	Central Denmark Region	3
2020-08-02	Central Denmark Region	0
2020-08-03	Central Denmark Region	3
2020-08-04	Central Denmark Region	1
2020-08-05	Central Denmark Region	4
2020-08-06	Central Denmark Region	0
2020-08-07	Central Denmark Region	3
2020-08-08	Central Denmark Region	2
2020-08-09	Central Denmark Region	1
2020-08-10	Central Denmark Region	2
2020-08-11	Central Denmark Region	1
2020-08-12	Central Denmark Region	0
2020-08-13	Central Denmark Region	0
2020-08-14	Central Denmark Region	2
2020-08-15	Central Denmark Region	0
2020-08-16	Central Denmark Region	3
2020-08-17	Central Denmark Region	3
2020-08-18	Central Denmark Region	0
2020-08-19	Central Denmark Region	1
2020-08-20	Central Denmark Region	5
2020-08-21	Central Denmark Region	2
2020-08-22	Central Denmark Region	0
2020-08-23	Central Denmark Region	1
2020-08-24	Central Denmark Region	1
2020-08-25	Central Denmark Region	1
2020-08-26	Central Denmark Region	0
2020-08-27	Central Denmark Region	0
2020-08-28	Central Denmark Region	1
2020-08-29	Central Denmark Region	0
2020-08-30	Central Denmark Region	1
2020-08-31	Central Denmark Region	1
2020-09-01	Central Denmark Region	0
2020-09-02	Central Denmark Region	0
2020-09-03	Central Denmark Region	1
2020-09-04	Central Denmark Region	2
2020-09-05	Central Denmark Region	4
2020-09-06	Central Denmark Region	1
2020-09-07	Central Denmark Region	1
2020-09-08	Central Denmark Region	0
2020-09-09	Central Denmark Region	1
2020-09-10	Central Denmark Region	1
2020-09-11	Central Denmark Region	3
2020-09-12	Central Denmark Region	2
2020-09-13	Central Denmark Region	1
2020-09-14	Central Denmark Region	0
2020-09-15	Central Denmark Region	3
2020-09-16	Central Denmark Region	2
2020-09-17	Central Denmark Region	3
2020-09-18	Central Denmark Region	1
2020-09-19	Central Denmark Region	4
2020-09-20	Central Denmark Region	3
2020-09-21	Central Denmark Region	1
2020-09-22	Central Denmark Region	2
2020-09-23	Central Denmark Region	2
2020-09-24	Central Denmark Region	4
2020-09-25	Central Denmark Region	1
2020-09-26	Central Denmark Region	4
2020-09-27	Central Denmark Region	2
2020-09-28	Central Denmark Region	1
2020-09-29	Central Denmark Region	4
2020-09-30	Central Denmark Region	5
2020-10-01	Central Denmark Region	8
2020-10-02	Central Denmark Region	4
2020-10-03	Central Denmark Region	2
2020-10-04	Central Denmark Region	3
2020-10-05	Central Denmark Region	8
2020-10-06	Central Denmark Region	1
2020-10-07	Central Denmark Region	3
2020-10-08	Central Denmark Region	4
2020-10-09	Central Denmark Region	4
2020-10-10	Central Denmark Region	2
2020-10-11	Central Denmark Region	3
2020-10-12	Central Denmark Region	8
2020-10-13	Central Denmark Region	4
2020-10-14	Central Denmark Region	5
2020-10-15	Central Denmark Region	4
2020-10-16	Central Denmark Region	5
2020-10-17	Central Denmark Region	3
2020-10-18	Central Denmark Region	6
2020-10-19	Central Denmark Region	5
2020-10-20	Central Denmark Region	3
2020-10-21	Central Denmark Region	5
2020-10-22	Central Denmark Region	2
2020-10-23	Central Denmark Region	3
2020-10-24	Central Denmark Region	4
2020-10-25	Central Denmark Region	2
2020-10-26	Central Denmark Region	6
2020-10-27	Central Denmark Region	9
2020-10-28	Central Denmark Region	6
2020-10-29	Central Denmark Region	5
2020-10-30	Central Denmark Region	8
2020-10-31	Central Denmark Region	4
2020-11-01	Central Denmark Region	8
2020-11-02	Central Denmark Region	4
2020-11-03	Central Denmark Region	4
2020-11-04	Central Denmark Region	7
2020-11-05	Central Denmark Region	7
2020-11-06	Central Denmark Region	8
2020-11-07	Central Denmark Region	4
2020-11-08	Central Denmark Region	6
2020-11-09	Central Denmark Region	11
2020-11-10	Central Denmark Region	7
2020-11-11	Central Denmark Region	8
2020-11-12	Central Denmark Region	10
2020-11-13	Central Denmark Region	10
2020-11-14	Central Denmark Region	6
2020-11-15	Central Denmark Region	8
2020-11-16	Central Denmark Region	11
2020-11-17	Central Denmark Region	15
2020-11-18	Central Denmark Region	11
2020-11-19	Central Denmark Region	10
2020-11-20	Central Denmark Region	11
2020-11-21	Central Denmark Region	5
2020-11-22	Central Denmark Region	4
2020-11-23	Central Denmark Region	9
2020-11-24	Central Denmark Region	11
2020-11-25	Central Denmark Region	9
2020-11-26	Central Denmark Region	4
2020-11-27	Central Denmark Region	7
2020-11-28	Central Denmark Region	8
2020-11-29	Central Denmark Region	7
2020-11-30	Central Denmark Region	4
2020-12-01	Central Denmark Region	17
2020-12-02	Central Denmark Region	12
2020-12-03	Central Denmark Region	8
2020-12-04	Central Denmark Region	13
2020-12-05	Central Denmark Region	11
2020-12-06	Central Denmark Region	10
2020-12-07	Central Denmark Region	14
2020-12-08	Central Denmark Region	8
2020-12-09	Central Denmark Region	13
2020-12-10	Central Denmark Region	14
2020-12-11	Central Denmark Region	24
2020-12-12	Central Denmark Region	10
2020-12-13	Central Denmark Region	11
2020-12-14	Central Denmark Region	17
2020-12-15	Central Denmark Region	20
2020-12-16	Central Denmark Region	12
2020-12-17	Central Denmark Region	22
2020-12-18	Central Denmark Region	17
2020-12-19	Central Denmark Region	20
2020-12-20	Central Denmark Region	19
2020-12-21	Central Denmark Region	21
2020-12-22	Central Denmark Region	19
2020-12-23	Central Denmark Region	26
2020-12-24	Central Denmark Region	21
2020-12-25	Central Denmark Region	25
2020-12-26	Central Denmark Region	20
2020-12-27	Central Denmark Region	17
2020-12-28	Central Denmark Region	41
2020-12-29	Central Denmark Region	29
2020-12-30	Central Denmark Region	17
2020-12-31	Central Denmark Region	13
2021-01-01	Central Denmark Region	21
2021-01-02	Central Denmark Region	18
2021-01-03	Central Denmark Region	10
2021-01-04	Central Denmark Region	28
2021-01-05	Central Denmark Region	21
2021-01-06	Central Denmark Region	20
2021-01-07	Central Denmark Region	17
2021-01-08	Central Denmark Region	22
2021-01-09	Central Denmark Region	13
2021-01-10	Central Denmark Region	16
2021-01-11	Central Denmark Region	24
2021-01-12	Central Denmark Region	21
2021-01-13	Central Denmark Region	12
2021-01-14	Central Denmark Region	17
2021-01-15	Central Denmark Region	15
2021-01-16	Central Denmark Region	13
2021-01-17	Central Denmark Region	5
2021-01-18	Central Denmark Region	22
2021-01-19	Central Denmark Region	10
2021-01-20	Central Denmark Region	6
2021-01-21	Central Denmark Region	9
2021-01-22	Central Denmark Region	11
2021-01-23	Central Denmark Region	4
2021-01-24	Central Denmark Region	8
2021-01-25	Central Denmark Region	7
2021-01-26	Central Denmark Region	5
2021-01-27	Central Denmark Region	5
2021-01-28	Central Denmark Region	7
2021-01-29	Central Denmark Region	6
2021-01-30	Central Denmark Region	3
2021-01-31	Central Denmark Region	7
2021-02-01	Central Denmark Region	5
2021-02-02	Central Denmark Region	3
2021-02-03	Central Denmark Region	2
2021-02-04	Central Denmark Region	4
2021-02-05	Central Denmark Region	4
2021-02-06	Central Denmark Region	1
2021-02-07	Central Denmark Region	1
2021-02-08	Central Denmark Region	4
2021-02-09	Central Denmark Region	1
2021-02-10	Central Denmark Region	4
2021-02-11	Central Denmark Region	5
2021-02-12	Central Denmark Region	2
2021-02-13	Central Denmark Region	2
2021-02-14	Central Denmark Region	3
2021-02-15	Central Denmark Region	3
2020-03-01	North Denmark Region	0
2020-03-02	North Denmark Region	0
2020-03-03	North Denmark Region	0
2020-03-04	North Denmark Region	0
2020-03-05	North Denmark Region	0
2020-03-06	North Denmark Region	0
2020-03-07	North Denmark Region	0
2020-03-08	North Denmark Region	0
2020-03-09	North Denmark Region	0
2020-03-10	North Denmark Region	0
2020-03-11	North Denmark Region	0
2020-03-12	North Denmark Region	1
2020-03-13	North Denmark Region	1
2020-03-14	North Denmark Region	3
2020-03-15	North Denmark Region	3
2020-03-16	North Denmark Region	2
2020-03-17	North Denmark Region	3
2020-03-18	North Denmark Region	4
2020-03-19	North Denmark Region	5
2020-03-20	North Denmark Region	2
2020-03-21	North Denmark Region	2
2020-03-22	North Denmark Region	3
2020-03-23	North Denmark Region	5
2020-03-24	North Denmark Region	6
2020-03-25	North Denmark Region	6
2020-03-26	North Denmark Region	7
2020-03-27	North Denmark Region	5
2020-03-28	North Denmark Region	5
2020-03-29	North Denmark Region	4
2020-03-30	North Denmark Region	1
2020-03-31	North Denmark Region	2
2020-04-01	North Denmark Region	4
2020-04-02	North Denmark Region	5
2020-04-03	North Denmark Region	12
2020-04-04	North Denmark Region	3
2020-04-05	North Denmark Region	1
2020-04-06	North Denmark Region	1
2020-04-07	North Denmark Region	0
2020-04-08	North Denmark Region	1
2020-04-09	North Denmark Region	0
2020-04-10	North Denmark Region	3
2020-04-11	North Denmark Region	1
2020-04-12	North Denmark Region	2
2020-04-13	North Denmark Region	0
2020-04-14	North Denmark Region	1
2020-04-15	North Denmark Region	1
2020-04-16	North Denmark Region	0
2020-04-17	North Denmark Region	0
2020-04-18	North Denmark Region	0
2020-04-19	North Denmark Region	0
2020-04-20	North Denmark Region	0
2020-04-21	North Denmark Region	0
2020-04-22	North Denmark Region	0
2020-04-23	North Denmark Region	0
2020-04-24	North Denmark Region	1
2020-04-25	North Denmark Region	1
2020-04-26	North Denmark Region	0
2020-04-27	North Denmark Region	0
2020-04-28	North Denmark Region	0
2020-04-29	North Denmark Region	1
2020-04-30	North Denmark Region	0
2020-05-01	North Denmark Region	0
2020-05-02	North Denmark Region	0
2020-05-03	North Denmark Region	0
2020-05-04	North Denmark Region	0
2020-05-05	North Denmark Region	0
2020-05-06	North Denmark Region	0
2020-05-07	North Denmark Region	0
2020-05-08	North Denmark Region	0
2020-05-09	North Denmark Region	0
2020-05-10	North Denmark Region	0
2020-05-11	North Denmark Region	0
2020-05-12	North Denmark Region	0
2020-05-13	North Denmark Region	0
2020-05-14	North Denmark Region	0
2020-05-15	North Denmark Region	1
2020-05-16	North Denmark Region	0
2020-05-17	North Denmark Region	0
2020-05-18	North Denmark Region	0
2020-05-19	North Denmark Region	0
2020-05-20	North Denmark Region	0
2020-05-21	North Denmark Region	0
2020-05-22	North Denmark Region	0
2020-05-23	North Denmark Region	0
2020-05-24	North Denmark Region	0
2020-05-25	North Denmark Region	0
2020-05-26	North Denmark Region	1
2020-05-27	North Denmark Region	0
2020-05-28	North Denmark Region	0
2020-05-29	North Denmark Region	0
2020-05-30	North Denmark Region	0
2020-05-31	North Denmark Region	0
2020-06-01	North Denmark Region	0
2020-06-02	North Denmark Region	0
2020-06-03	North Denmark Region	0
2020-06-04	North Denmark Region	0
2020-06-05	North Denmark Region	0
2020-06-06	North Denmark Region	0
2020-06-07	North Denmark Region	0
2020-06-08	North Denmark Region	0
2020-06-09	North Denmark Region	0
2020-06-10	North Denmark Region	1
2020-06-11	North Denmark Region	1
2020-06-12	North Denmark Region	1
2020-06-13	North Denmark Region	0
2020-06-14	North Denmark Region	0
2020-06-15	North Denmark Region	0
2020-06-16	North Denmark Region	1
2020-06-17	North Denmark Region	2
2020-06-18	North Denmark Region	1
2020-06-19	North Denmark Region	0
